номер,URL,TEXT
1,https://www.petrolplus.ru/article/taneko-dizelnoe-toplivo/,"Кто производит дизель «Танеко»
Выпуск автомобильного дизельного горючего для реализации на автозаправках сети происходит на нефтеперерабатывающем заводе компании, который находится в городе Нижнекамске Республики Татарстан. В 2023 году компания «Татнефть» произвела 16,92 млн тонн нефтепродуктов.

НПЗ «Танеко» — высокотехнологичный нефтеперерабатывающий комплекс. Это первый масштабный инвестиционный и промышленный объект, возведенный с нуля в постсоветские годы. Строительство предприятия инициировали с целью образования новых производственных мощностей для выпуска нефтепродуктов с улучшенными экологическими и эксплуатационными характеристиками. Сегодня на заводе выпускают не только ДТ, но и для реактивных двигателей, бензины, сжиженный топливный газ, масла, СУГ, изопентан, кокс нефтяной, тяжелый газойль и другие продукты.

Современное оборудование последнего поколения, установленное и запущенное в работу на НПЗ, дало возможность нефтеперерабатывающей компании быстро и эффективно выпускать горючее класса экологичности Евро-6 в массовых объемах. Сегодня можно купить топливо оптом и в розницу. Сеть АЗС Tatneft насчитывает более 1500 автозаправочных станций в РФ, Республике Узбекистан, Беларуси и Турции по состоянию на 1 января 2024 года.

Виды дизтоплива «Танеко»
В линейку ДТ «Танеко» входят:

горючее Евро-6, 1 и 4-го классов, стандарта К5;

Евро классы 1, 2, 4;

топливо летнее, зимнее и арктическое стандарта К5;

ДТ Евро 6 сортов C, E, F.

Компания реализует нефтепродукты собственного изготовления, выпущенные на своем производственном кластере.

Зимняя солярка
С приближением холодов многие автомобилисты переходят на зимнее горючее. Это позволяет обеспечить эффективную работу топливной системы при минусовой температуре. Зимнее горючее этой марки характеризует особая температура замерзания, обусловленная определенным сортом топлива:

горючее сорта Е замерзает при температуре ниже −20°С

дизтопливо сорта F замерзает, если на улице ниже −25°С.

ДТ Евро также обладает предельно низкой температурой замерзания, которая превосходит установленные технические нормы:

1-ый класс при −40°С;

2-ой класс при −46°С.

Солярку, которая не замерзает при перепадах температуры в интервале от минус 45 до минус 55 градусов, называют арктическое дизельное топливо. При −55°С горючее замерзает, а свойство качественной фильтруемости стабильно при температуре −39°С.

Дизельное топливо класса 4 сохраняет фильтруемость при температуре −45 градусов и обладает такой же температурой помутнения. Автовладельцы Севера и Сибири могут спокойно заправлять свои автомобили нефтепродуктом в сети АЗС «Татнефть».

Летняя солярка
Температура замерзания летнего дизеля минус 10°С. Но на заводе «Танеко» выпускают летнюю солярку с температурой фильтруемости в минус 15°С.

Это стало возможным, поскольку на НПЗ компании используют качественное сырье, которое добывают сами и прогоняют на высокотехнологичном современном оборудовании.

Преимущества «Танеко»

«Танеко» от обычного горючего отличается рядом преимуществ, которые подтверждают положительные отзывы водителей и результаты независимых исследований:

цетановое число — до 60 (при требовании не ниже 51 для летних сортов и 47 — для зимних);

мотор выходит на максимальный КПД, если нет перегрузки двигателя;

время запуска транспортного средства даже при сильном минусе меньше;

в продукте объем ПАУ в ДТ— не больше 1% от общей массы;

температура вспышки больше 55 градусов.

Кроме того, производитель обогатил дизельное топливо ингибитором трения, а зимнее дизтопливо еще и депрессорными примесями, которые предотвращают синтез n-парафина и сохраняют текучесть горючего.

Почему «Танеко» выбирают сотни тысяч автолюбителей на всей территории страны

TANECO EURO-6 — уникальный для российского топливного рынка продукт, который выпускают на основе технологии гидрокрекинга. Такое решение в нефтепереработке — оптимальный путь к достижению стандарта «Евро-5». Гидрокрекинг дает бесспорные преимущества в сравнении с обычным дизельным горючим, изготовленным по «традиционной» технологии из прямогонной фракции. 

Высокое «цетановое число» «Танеко» дизеля характеризует способность ДТ к детонации, стабильному горению и обусловлено углеводородным составом горючего. Топливная смесь при использовании дизеля этой марки горит спокойнее и более плавно, тем самым обеспечивая более экономичную работу мотора.

Нормы к качеству топлива постоянно ужесточают. При этом четко обозначилась тенденция на сокращение объема серы в формуле нефтепродукта. Очистка горючего от этого вещества позволяет решить проблему кислотных дождей, которые наносят вред растительности и отрицательно влияют на здоровье человека. В таком топливе количество серы менее 3-х ppm, тогда как по стандарту предельное содержание должно быть не выше 10-ти ppm. 

Другим достоинством топлива выступает небольшое включение полициклических ароматических углеводородов, так называемой ароматики. При нормативе не больше 8%, в горючем от Tatneft она составляет 0,2–1%. Такой показатель продлевает срок службы мотора и делает его мощнее. Оптимальные показатели плотности и вязкости предупреждают образование углеродистых отложений на форсунках. Это замедляет коррозийные процессы и износ мотора, вместе с тем сокращает включение окислов серы в отработанных газах.

Так что эксплуатация дизтоплива «Танеко» — шаг в пользу сохранения экологии.

Полнее всего преимущества перехода на «танековское» горючее автовладельцы оценят в октябре—ноябре. Это время, когда все с летнего топлива переходят на зимнее, по традиции считается проблемным для пользователей солярных моторов. Низкая температура и смешивание в резервуарах разного топлива способствуют замерзанию нефтепродукта в топливных системах. Это можно объяснить большим содержанием парафинов, которые превращаются в кристаллы, что блокирует прокачку горючего через топливные фильтры. Поэтому российские производители добавляют в зимнее ДТ различные присадки, которые заметно снижают образование кристаллов парафина, чтобы сохранить работоспособность фильтра, который отвечает за тонкую очистку. В топливе «Танеко» есть противоизносная присадка, а в зимний состав добавляют депрессорно-диспергирующую присадку, чтобы снизить температуру застывания.  

По отзывам водителей, которые пользуются «Танеко», двигатель стал мягче работать. Среди плюсов эксплуатации называют максимальные показатели полезной мощности и полезного крутящего момента, сокращение расхода топлива и повышение КПД мотора.

Удостовериться в высоком качестве ДТ «Танеко» можно, заправив автомобиль на одной из автозаправок сети «Татнефть», помогут в этом топливные карты от «ППР». Оформляйте карту на сайте и заправляйтесь на более чем 18 000 АЗС по всей стране. 
"
2,https://www.rbc.ru/spb_sz/26/03/2023/642072f09a7947164d69dd16,"С 24 марта компания «Татнефть» официально стала владельцем 100% долей в шинном заводе финской компании Nokian Tyres в г. Всеволожске Ленинградской области. Изменения внесены в Единый государственный реестр юридических лиц (ЕГРЮЛ). Также «Татнефти» перешла компания «Хакка инвест», которая управляет имуществом Nokian Tyres. Таким образом, сделка, на которую финский производитель шин решился в июне 2022 года, полностью завершена.

Невыгодная сделка

Напомним, в июне 2022 года Nokian Tyres приняла решение уйти с российского рынка, заявив, что после ужесточения санкций против РФ работа компании в стране нецелесообразна. «В апреле ЕС ввел санкции, запрещающие импорт шин из России в ЕС. Импорт шин из России в Европу и Северную Америку заТкончился в июле. Сокращение поставок негативно повлияло на чистый объем продаж, особенно в Центральной Европе», — говорится в ежегодном отчете Nokian Tyres. Компании пришлось значительно изменить финансовые планы из-за обесценивания российских активов. Первоначально их стоимость была оценена в 400 млн евро. Однако после одобрения сделки правительственной комиссией по контролю за иностранными инвестициями, цена снизилась до 285 млн евро. В дальнейшем Tyres планирует развивать свой бизнес в Румынии — на строительство первого завода с нулевым выбросом углекислого газа компания инвестирует 650 млн евро. Также Nokian Tyres увеличила присутствие в Северной Америке.

Шинный рецепт

Nokian Tyres построил завод в Ленинградской области в 2005 году, инвестировав в производство в общей сложности около миллиарда евро. Завод наполнял частично российский рынок, однако большая часть продукции экспортировалась в Европу, Северную Америку и страны Ближнего Востока. В целом объемы производства составляли около 17 млн шин в год. После перезапуска Всеволожскому заводу придется искать новые рынки сбыта.

Ранее губернатор Ленинградской области Александр Дрозденко сообщал, что перезапуск производства произойдет во втором квартале 2023 года. Тем временем, в феврале Nokian Tyres запустил конвейер во Всеволожске вновь после технической остановки для выпуска летних шин под брендами Nokian — они предназначены для внутреннего российского рынка и стран ЕАЭС. По данным компании, на склады дистрибьюторов уже отгружены объемы зимних шин Nokias Tyres, которых хватит на зимний сезон 2023-2024 года. «После завершения процесса выхода концерна NokianTyres из России на шинном заводе во Всеволожске планируется производить шины под другой торговой маркой с сохранением технологий производства, обеспечивающих высокие эксплуатационные характеристики. Финальное решение о новом бренде будет принято новым собственником после завершения сделки», — сообщила пресс-служба NokianTyres.

Официальных сообщений о том, какие именно шины будет выпускать во Всеволожске «Татнефть» пока не было. Однако известно, что в феврале 2023 года компания «Нокиан Тайерс» (которая теперь принадлежит «Татнефти») подала заявки на регистрацию товарных знаков «Торстен», Torsten, Ikonan, Ikon"
3,https://togliatti.tatneft.ru/produktsiya/osnovnaya-produktsiya?lang=ru,"Основная продукция
Основной продукцией «Тольяттикаучук» являются синтетические каучуки различных марок. Также предприятие производит углеводородные фракции, продукты органического и неорганического синтеза, мономеры, полимеры, присадки для автомобильных бензинов.

БУТАДИЕН-СТИРОЛЬНЫЙ КАУЧУК
Применяется в производстве наиболее материалоемких резиновых изделий, таких как шины и конвейерные ленты.

ИЗОПРЕНОВЫЙ КАУЧУК
Применяется в производстве шин и резинотехнических изделий, а также в электронной и электротехнической промышленности.

БУТИЛКАУЧУК
Применяется в производстве автомобильных камер, диафрагм форматоров-вулканизаторов, при изготовлении резинотехнических изделий, контактирующих с пищевыми продуктами, а также для изделий медицинского и фармацевтического назначения.

МЕТИЛ-ТРЕТ-БУТИЛОВЫЙ ЭФИР (МТБЭ)
Кислородсодержащая добавка, применяется в качестве высокооктанового компонента при получении неэтилированных, экологически чистых бензинов.

Бензин марки АИ-92-К2

Применяется в качестве моторного топлива на транспортных средствах с бензиновыми двигателями, сконструированными для работы на неэтилированном бензине.

БУТАДИЕН-1,3

Бутадиен-1,3 предназначен для производства синтетических каучуков, латексов, хлоропрена и термоэластопластов.

АБСОРБЕНТ А-2 ТЯЖЕЛЫЙ

Абсорбент А-2 тяжелый используется в органическом синтезе для извлечения из него различных фракций углеводородов, а также для различных нужд народного хозяйства."
4,https://koshelek.app/loyalty/karta-tatneft,"Карта лояльности «Татнефть»
Получите карту лояльности «Татнефть» и заправляйте автомобиль на выгодных условиях. С приложением «Кошелёк» дисконтная карта будет всегда под рукой в вашем телефоне.

84 691 Пользователей добавили эту карту в свой Кошелёк

«Татнефть» — крупная сеть АЗС, предлагающая водителям  топливо, а также услуги и сервисы.

Как работает программа лояльности
• Обратитесь к оператору на любой из АЗС «Татнефть» и приобретите карту лояльности на кассе за 199 ₽.
• Предъявляйте карту при оплате на кассе и получайте скидку в зависимости суммы, потраченной в прошлом месяце.

Что ещё даёт карта
• Особые предложения, акции и розыгрыши призов.

Уровни и привилегии
Статус карты зависит от суммы, потраченной в прошлом месяце:
• Серебро — скидка 1,5% при тратах до 5 000 ₽ в предыдущем месяце
• Золото — скидка 3% при тратах от 5 000 ₽ до 15 000 ₽ (даётся бесплатно на 2 месяца при оформлении карты).
• Платина — скидка 5% при тратах от 15 000 ₽.

Больше информации о программе лояльности доступно на сайте сети АЗС «Татнефть».

Станьте участником программы лояльности «Татнефть» и заправляйте ваш автомобиль качественным топливом по выгодным ценам.

*Информация о правилах программы лояльности основана на данных из открытого источника: tatneft.ru. Часть условий могла устареть — посетите сайт компании, чтобы проверить изменения.
Карта лояльности «Татнефть»
Получите карту лояльности «Татнефть» и заправляйте автомобиль на выгодных условиях. С приложением «Кошелёк» дисконтная карта будет всегда под рукой в вашем телефоне.

84 691 Пользователей добавили эту карту в свой Кошелёк

«Татнефть» — крупная сеть АЗС, предлагающая водителям  топливо, а также услуги и сервисы.

Как работает программа лояльности
• Обратитесь к оператору на любой из АЗС «Татнефть» и приобретите карту лояльности на кассе за 199 ₽.
• Предъявляйте карту при оплате на кассе и получайте скидку в зависимости суммы, потраченной в прошлом месяце.

Что ещё даёт карта
• Особые предложения, акции и розыгрыши призов.

Уровни и привилегии
Статус карты зависит от суммы, потраченной в прошлом месяце:
• Серебро — скидка 1,5% при тратах до 5 000 ₽ в предыдущем месяце
• Золото — скидка 3% при тратах от 5 000 ₽ до 15 000 ₽ (даётся бесплатно на 2 месяца при оформлении карты).
• Платина — скидка 5% при тратах от 15 000 ₽.

Больше информации о программе лояльности доступно на сайте сети АЗС «Татнефть».

Станьте участником программы лояльности «Татнефть» и заправляйте ваш автомобиль качественным топливом по выгодным ценам.

*Информация о правилах программы лояльности основана на данных из открытого источника: tatneft.ru. Часть условий могла устареть — посетите сайт компании, чтобы проверить изменения.
Карта лояльности «Татнефть»
Получите карту лояльности «Татнефть» и заправляйте автомобиль на выгодных условиях. С приложением «Кошелёк» дисконтная карта будет всегда под рукой в вашем телефоне.

84 691 Пользователей добавили эту карту в свой Кошелёк

«Татнефть» — крупная сеть АЗС, предлагающая водителям  топливо, а также услуги и сервисы.

Как работает программа лояльности
• Обратитесь к оператору на любой из АЗС «Татнефть» и приобретите карту лояльности на кассе за 199 ₽.
• Предъявляйте карту при оплате на кассе и получайте скидку в зависимости суммы, потраченной в прошлом месяце.

Что ещё даёт карта
• Особые предложения, акции и розыгрыши призов.

Уровни и привилегии
Статус карты зависит от суммы, потраченной в прошлом месяце:
• Серебро — скидка 1,5% при тратах до 5 000 ₽ в предыдущем месяце
• Золото — скидка 3% при тратах от 5 000 ₽ до 15 000 ₽ (даётся бесплатно на 2 месяца при оформлении карты).
• Платина — скидка 5% при тратах от 15 000 ₽.

Больше информации о программе лояльности доступно на сайте сети АЗС «Татнефть».

Станьте участником программы лояльности «Татнефть» и заправляйте ваш автомобиль качественным топливом по выгодным ценам.

*Информация о правилах программы лояльности основана на данных из открытого источника: tatneft.ru. Часть условий могла устареть — посетите сайт компании, чтобы проверить изменения.
"
5,https://www.tatneft.ru/sustainable_development/ecology/waste_management/indicators,"Обращение с отходами

Одним из основных направлений в природоохранной деятельности Группы «Татнефть» является снижение техногенной нагрузки на окружающую среду за счёт сокращения объёмов образования отходов производства и потребления, а также увеличения доли утилизируемых отходов. Компанией внедрены наилучшие доступные технологии, создана комплексная система селективного накопления, сбора и переработки отходов производства и потребления, использования их в качестве сырья для получения товарной продукции.

На предприятиях Группы «Татнефть» утилизируется 47 наименований опасных отходов, в том числе нефтесодержащие отходы. При выборе контрагентов для оказания услуг по обращению с отходами Компания учитывает размер негативного воздействия на окружающую среду от применения технологий (операция по обращению с отходами, количество выбросов загрязняющих веществ в атмосферный воздух и количество парниковых газов на единицу перерабатываемых отходов и т.д.).

В 2022 году на предприятиях Группы «Татнефть» образовалось 307,001 тыс. т отходов. Количество образования отходов в 2022 году увеличилось на 40,8% по сравнению с прошлым годом за счет изменения состава Группы «Татнефть».

В процессе производственной деятельности на предприятиях, в соответствии с лицензиями на право обращения с отходами, осуществляется деятельность по сбору, транспортированию, обработке, утилизации, обезвреживанию, размещению отходов I — IV классов опасности

Количество отходов по состоянию на начало и конец каждого отчетного года (отходы, оставшиеся в накоплении) зависит от организации производственного процесса переработки образующихся отходов.

Наличие отходов на начало года — 123,717 тыс. тонн. В отчетный период проведена частичная ликвидация шламонакопителя (ООО «Нижнекамская ТЭЦ»). Общий объем переработки (утилизация) шламонакопителя составил 82,1 тыс. тонн (ООО «Нижнекамская ТЭЦ»). Поступило отходов от других хозяйствующих субъектов-20,4 тыс. тонн. Наличие отходов на конец года-43,3 тыс. тонн.

В 2022 году образовано отходов 1 — 4 класса опасности — 66,293 % (203,519 тыс. т), 5 класса опасности — 33,707 % (103,482 тыс. т). Методика сбора данных ведется по правилам формирования государственной статистической отчетности по форме № 2-ТП (отходы).

ОБРАЩЕНИЕ С ОТХОДАМИ ПО БИЗНЕС-НАПРАВЛЕНИЯМ, ТЫС. Т

Бизнес-направление	Образовано	Утилизировано и обработано	Направлено на захоронение и обезвреживание
			2020	2021	2022	2020	2021	2022	2020	2021	2022
Разведка и добыча	33,4	58,8	73,8	24,4	44,9	60,11	10,5	14,7	18,6
Ремонт и бурение скважин* 	-	-	92,9	-	-	91,69 	-	-	1,2
Машиностроение	16,1 	17	44,4	46,5	34,3	54,87	1,5	1,8	4,8
Нефтегазопереработка	15,32 	17,8	14,2	10	14,6	11,49	4,9 	4,5	3,5
Розничный бизнес	25	24,8	29,7	0,3	0,4	1,50	24,1	24,5	28,3
Шинный бизнес	36	25,6	-	19,2	17,6 	-	24,3	15,5	-
Композиционные материалы	3,4	4,6	3,8	1 	0,5	0,57	2,4	4	3,3
Энергетика 	3,3	2,9	3,5	1,7	1,1	82,37	0,4	0,4	0,6
Трейдинг и логистика	0	0,012 	0	0	0	0	0	0,011	0
Социальное развитие	0,08	1,1 	2,5	0	0,1	0,18	0,08	1	2,3
Цифровое развитие	0,00	0,08	0,4	0	0	0,01	0	0,08	0,4
Прочие предприятия Группы	70	53,9 	30,60	69,2	48,07	21,47	0,7	5,9	9,1
Нефтегазохимия 	10,5	11,3	11,2	1,6	2	2,16	8,9	10,1	9,6
Геологоразведка**	5,9	0	0	5,7	0	0	0,1	0	0
Итого			218,8	218,0	307,0	179,6	163,6	326,4 	77,8 	82,5	81,7"
6,https://www.tatneft.ru/ekologiya,"Экология

Компания придерживается принципов Глобального договора ООН и оценивает воздействия планируемой и осуществляемой деятельности на окружающую среду при принятии управленческих и инвестиционных решений наряду с другими значимыми факторами, а также в решении экологических проблем, вопросов промышленной безопасности и охраны труда.

При осуществлении своей деятельности Компания отдает приоритет мероприятиям, направленным на предупреждение возможного негативного воздействия на окружающую среду. Выявление опасностей, оценка и управление рисками в области обеспечения охраны окружающей среды, климатическими рисками осуществляется на всех этапах жизненного цикла производства, начиная с предпроектных изысканий.

Утвержденная «Стратегия развития в области промышленной безопасности, охраны труда и окружающей среды Группы „Татнефть“ до 2030 года» определяет цели и ответственность Компании в области климатических аспектов и выбросов парниковых газов. Компания применяет в своей производственной деятельности передовые научные достижения и инновационные технические решения, системы и процессы с учётом мирового опыта и наилучших доступных технологий в целях предотвращения изменения климата, а также снижения негативного воздействия на окружающую среду.

ПРИОРИТЕТНЫЕ ЦЕЛИ УСТОЙЧИВОГО РАЗВИТИЯ:

1) минимизация влияния на изменение климата:
сокращение выбросов парниковых газов и снижение углеродного следа
применение экологически чистых и альтернативных источников энергии
увеличение уровня полезного использования попутного нефтяного газа
контроль воздействия на окружающую среду в цепочке поставок и меры по минимизации такого воздействия

2) благоприятные окружающая среда и условия жизнедеятельности:
недопущение экологического ущерба от хозяйственной деятельности
снижение потерь сырья и продукции на всех этапах производственной деятельности и предотвращение их попадания в окружающую среду
применение наилучших доступных технологий, оборудования, цифровых решений управления технологическими процессами
предотвращение возникновения аварийных ситуаций и принятие всех возможных мер по минимизации их последствий
предотвращение негативного воздействия на природные объекты

3) сохранение естественных экологических систем и биологического разнообразия:
сведение к минимуму проведение работ на особо охраняемых природных территориях и в их охранных зонах
восстановление биоразнообразия, мест обитания, путей миграции животных и компенсации возможного ущерба окружающей среде
снижение фрагментации природных ландшафтов и площади нарушенных земель

4) рациональное использование природных ресурсов:
повышение энергоэффективности производственных процессов и обеспечение ресурсосбережения
внедрение элементов циркулярной экономики, переработка отходов и использование перерабатываемых материалов
применение систем оборотного и повторного водоснабжения и сокращение забора воды из естественных источников

5) улучшение системы управления воздействием на окружающую среду:
обеспечение соблюдения действующих норм и предупреждение чрезвычайных ситуаций путем осуществления производственного экологического контроля и аудита
внедрение современных информационных технологий, методов технической диагностики и дистанционного мониторинга
комплексная оценка воздействия на окружающую среду при реализации инфраструктурных проектов
проведение дополнительной оценки рисков на особо охраняемых природных территориях, водно-болотных угодьях, где осуществляет деятельность Компания
поддержание открытого диалога и осуществление регулярного взаимодействия с заинтересованными сторонами"
7,https://www.tatneft.ru/sustainable_development/ecology/environmental_management,"Экология

Компания обеспечивает систему менеджмента промышленной безопасности, охраны труда и окружающей среды по всей производственной цепочке Группы «Татнефть». На операционном уровне система управления в области промышленной безопасности, охраны труда и окружающей среды (ПБОТОС) обеспечивается двумя функциональными подразделениями:

управление промышленной безопасности и охраны труда*
управление охраны окружающей среды и экологии
* подробнее о системе управления промышленной безопасностью и охраной труда – в разделе «Безопасность производства»

Система управления воздействием на окружающую среду охватывает все основные уровни управления:
С 2006 года Компания развивает интегрированную систему менеджмента промышленной безопасности, охраны труда и окружающей среды, отвечающую передовым международным стандартам ISO. Соответствие стандартам подтверждается ресертификацией каждые три года.

Ежегодно проводятся внутренние и внешние надзорные аудиты, способствующие совершенствованию системы менеджмента, повышению уровня компетентности работников в данных областях. С целью дальнейшего развития системы менеджмента, повышения ее результативности в 2022 году были формализованы основные процессы.

В процессах функционального направления, охватывающих все организации Группы «Татнефть», были разработаны матрицы ответственности, определены показатели эффективности процессов, которые увязаны со стратегическими целями в области охраны окружающей среды.

Компания обеспечивает соответствие стандартам ISO в области экологического менеджмента, промышленной безопасности и охраны здоровья: ISO 14001:2015, ISO 45001:2018 и ГОСТ Р ИСО 14001-2016. Внедрены стандарты ISO в области климата: ISO 14064-1:2018, ISO 14064- 2:2019, ISO 14064-3:2019.

Компания развивает систему добровольного страхования экологических рисков в рамках корпоративной интегрированной системы управления рисками.

Подразделения Группы «Татнефть» на постоянной основе осуществляют страхование рисков, связанных с причинением ущерба окружающей среде. Договоры страхования заключаются в отношении всех опасных производственных объектов, закрепленных за структурными подразделениями и дочерними обществами Компании. Страховая компания возмещает физический и имущественный вред, а также вред, нанесенный окружающей природной среде.

Сертификаты системы менеджмента"
8,https://www.tatneft.ru/sustainable_development/ecology/environmental_management/environmental_protection,"Экологический менеджмент

В 2022 году расходы на охрану окружающей среды составили 10,8 млрд руб., что на 8,5 % меньше, чем в 2021 году. Уменьшение расходов преимущественно связано с изменением организационной структуры Группы «Татнефть» и уменьшением инвестиций в связи с завершением строительства и вводом в эксплуатацию общезаводской факельной системы и компрессорной установки сырого газа.

Расчет расходов на охрану окружающей среды произведен на основании отчетов по формам федерального статистического наблюдения N 4-ОС «Сведения о текущих затратах на охрану окружающей среды» и № 18-КС «Сведения об инвестициях в основной капитал, направленных на охрану окружающей среды и рациональное использование природных ресурсов».

Статья расходов, млрд руб.                                                2021   2022
Затраты на ООС (форма №4-ОС)                                             10,1   9,9
Инвестиции в основной капитал, направленные на ООС (форма №18-КС)        1,7    0,9
Итого                                                                     11,8   10,8
Платежи за негативное воздействие на ОС                                   0,028  0,024
Штрафы и оплата ущерба за экологическое воздействие                       0,061  0,04

ВКЛАД В ОХРАНУ ОКРУЖАЮЩЕЙ СРЕДЫ, 10.8 МЛРД РУБ.

Масштабная природоохранная деятельность предприятий Группы «Татнефть» финансируется за счет собственных средств по приоритетному принципу.
Объёмы финансирования природоохранных мероприятий в соответствии с Европейским Классификатором видов природоохранной деятельности (The Classification of Environmental Protection Activities and expenditures, СЕРА 2000) сгруппированы по 9 направлениям.

УДЕЛЬНЫЕ РАСХОДЫ НА ОХРАНУ ОКРУЖАЮЩЕЙ СРЕДЫ ПО БИЗНЕС-НАПРАВЛЕНИЯМ           2020  2021  2022
Разведка и добыча, руб./т добытой нефти                                      158   147   155
Нефтегазопереработка, руб./т.у.т. переработанного сырья                      334   289   208
Нефтегазохимия, руб./т товарной продукции                                    429   736   384
Энергетика, руб./кВт*ч выработанной энергии                                  6,6   18    16


ЭКОЛОГИЧЕСКАЯ ПРОГРАММА:
Достижение установленных целей в области экологической безопасности, снижения воздействия на окружающую среду, в том числе в области климатических аспектов и выбросов парниковых газов, реализуется через последовательно формируемые природоохранные программы.

С 1990 года были успешно реализованы четыре природоохранные программы. Примененный комплексный подход к решению экологических вопросов позволил добиться улучшения состояния окружающей среды и снижения техногенного влияния нефтедобычи.

С 2021 года действует пятая экологическая программа Компании, разработанная на период до 2025 года с целью поддержания состояния окружающей среды региона деятельности Компании на нормативно допустимом уровне, соответствующем потенциальным возможностям самовосстановления природных экосистем.

Экологическая программа объединяет усилия всех предприятий Группы «Татнефть» по сохранению качества окружающей среды. Программа учитывает не только законодательные требования к природоохранной деятельности, но и взятые на себя дополнительные обязательства. Основой программы является риск-ориентированный подход и цели по снижению техногенного воздействия на окружающую среду"
